,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1
90,0.8042738160374491,0.713,0.7628400378111543,0.7886178861788617,0.8830931971548422,0.582,0.8185737229156688,0.669735327963176
91,0.8174965043467688,0.697,0.7993694468329035,0.804953560371517,0.8477719010274181,0.52,0.8228595031569009,0.6318347509113001
92,0.7967049668672868,0.703,0.7541265295495965,0.7636363636363637,0.8804790564775974,0.588,0.8124193638862399,0.6644067796610169
93,0.8063104140069305,0.704,0.7702333065164924,0.7833333333333333,0.8730621922305307,0.564,0.8184305009403317,0.6558139534883721
94,0.8347315946258131,0.705,0.8077353006930472,0.8096676737160121,0.8785944434312116,0.536,0.8416761305727847,0.6450060168471721
95,0.8237582831783087,0.705,0.8021560283687943,0.8115501519756839,0.8595051370904007,0.534,0.829840934436814,0.6441495778045838
96,0.8266459967171257,0.693,0.8166548797736917,0.8293515358361775,0.842422031734452,0.486,0.8293383607146063,0.6128625472887768
97,0.8114779013921819,0.704,0.7855112844803567,0.8072289156626506,0.8569517903823941,0.536,0.8196778507879281,0.6442307692307693
98,0.826980363547936,0.702,0.8096608900915424,0.8023952095808383,0.8549455893975317,0.536,0.8316872671358448,0.6426858513189448
99,0.8065231928992644,0.69,0.7780412484835116,0.7761627906976745,0.8577421119824913,0.534,0.8159500332533326,0.6327014218009479
100,0.827466715301842,0.687,0.8209497706012036,0.8280701754385965,0.83761930816463,0.472,0.8292007703418391,0.6012738853503184
101,0.8284698157942733,0.692,0.802316472694718,0.8116883116883117,0.8717247249072893,0.5,0.8355817138195274,0.6188118811881188
102,0.8288953735789409,0.679,0.81985337590162,0.8033898305084746,0.8430299714268344,0.474,0.8312801606570153,0.5962264150943396
103,0.8259164690862666,0.704,0.8186140496850113,0.8333333333333334,0.837376132287677,0.51,0.8278888054094665,0.6327543424317618
104,0.8236974892090705,0.699,0.7926675094816688,0.7787114845938375,0.8767098303848259,0.556,0.8325731770682986,0.6487747957992999
105,0.8049425496990699,0.713,0.7738290206354406,0.8034188034188035,0.8617545139522159,0.564,0.8154284235050479,0.6627497062279671
106,0.8003830020062009,0.707,0.7653883338704479,0.7899159663865546,0.8663140616450848,0.564,0.812729917015998,0.6581096849474912
107,0.8217824791780656,0.708,0.7962610545169596,0.8058823529411765,0.8648550063833668,0.548,0.8291417747340813,0.6523809523809524
108,0.7915678764666545,0.712,0.7536224219989424,0.7717948717948718,0.866374855614323,0.602,0.8060748324330439,0.6764044943820224
109,0.799167122621436,0.699,0.7584558823529411,0.7597911227154047,0.8779257097695908,0.582,0.8138296373524191,0.6591166477916195
